,genre,topic,word,frequency
147,rb,4,va,0.0029748327071367027
148,rb,4,rien,0.0028299447854284636
149,rb,4,fais,0.0028147719692956552
150,pop,4,내,0.008142045545576408
151,pop,4,να,0.00622607106480251
152,pop,4,난,0.005628418071406927
153,pop,4,μου,0.004755785153901916
154,pop,4,και,0.004387991927079184
155,pop,4,날,0.0038970689160748107
156,pop,4,그,0.0038069338147933597
157,pop,4,널,0.0037012792960450795
158,pop,4,το,0.003691708806917049
159,pop,4,더,0.0036522933503601337
160,pop,4,수,0.003613604308386841
161,pop,4,이,0.003578945248487948
162,pop,4,με,0.0031247433371671806
163,pop,4,나,0.003121936983067862
164,pop,4,hogy,0.0030946040095680533
165,pop,4,σου,0.0030591824692543412
166,pop,4,내가,0.0029167676772954587
167,pop,4,أنا,0.0028607971149724807
168,pop,4,δεν,0.0028063024294848232
169,pop,4,다,0.0028056776434414385
170,pop,4,posso,0.002805138776545682
171,pop,4,너의,0.002781580130057342
172,pop,4,az,0.00276528478712612
173,pop,4,나를,0.0026754011236467526
174,pop,4,θα,0.002653597869094636
175,pop,4,és,0.002599217635734198
176,pop,4,ég,0.0024662937688527706
177,pop,4,που,0.0024081444293365794
178,pop,4,너를,0.00237860334313923
179,pop,4,τα,0.002369330179204097
180,pop,4,teu,0.002308054610363866
181,pop,4,넌,0.0023037620060613
182,pop,4,또,0.0022973175170876896
183,pop,4,우리,0.0022058367052970682
184,pop,4,σε,0.002175806685200744
185,pop,4,κι,0.002126212180950987
186,pop,4,네,0.002119602353193435
187,pop,4,다시,0.0020718632206661067
188,pop,4,나의,0.0019599120550562953
189,pop,4,나는,0.0019541068151175726
190,pop,4,해,0.0019126346833757452
191,pop,4,אני,0.001895631197521244
192,pop,4,걸,0.0018927098902961736
193,pop,4,네가,0.0018565857936665554
194,pop,4,για,0.0018404222282770173
195,pop,4,있어,0.0017540047838346623
196,pop,4,모든,0.0017149042796342534
197,pop,4,거야,0.0017079066136598735
198,pop,4,내게,0.001706358612193533
199,pop,4,η,0.0017026994846404474
200,rock,4,love,0.21355567777877416
201,rock,4,baby,0.11647327343095253
202,rock,4,heart,0.0715911559289205
203,rock,4,oh,0.04712324414460088
204,rock,4,yes,0.03173574176839291
205,rock,4,ooh,0.02611875843738637
206,rock,4,whoa,0.013688875022725833
207,rock,4,honey,0.013397277757436505
208,rock,4,come,0.013381256077645452
209,rock,4,lover,0.012319067419675069
210,rock,4,girl,0.011394004502354218
211,rock,4,bit,0.010326477887776318
212,rock,4,babe,0.010313926641953942
213,rock,4,arm,0.008713031098283384
214,rock,4,please,0.008356554058941092
215,rock,4,name,0.007071500564567756
216,rock,4,kiss,0.007032597941430025
217,rock,4,bye,0.006457446224287628
218,rock,4,hold,0.005701301674317267
219,rock,4,damage,0.005665433202734737
220,rock,4,night,0.004327334451761407
221,rock,4,fool,0.004175649531662322
222,rock,4,doo,0.004172142431219306
223,rock,4,woo,0.004029049257718205
224,rock,4,loving,0.00399823550471857
225,rock,4,miracle,0.0037499993569740124
226,rock,4,thee,0.0036639838018777027
227,rock,4,cmon,0.0035438362614087183
228,rock,4,touch,0.0032759719888568895
229,rock,4,ohh,0.003271175309961937
230,rock,4,crazy,0.0030532446481670934
231,rock,4,anybody,0.003043361315184394
232,rock,4,lip,0.003017594251028338
233,rock,4,lullaby,0.0029883920785048947
234,rock,4,mine,0.0028851307786084785
235,rock,4,ahh,0.002587637586525696
236,rock,4,romance,0.0025844592047034863
237,rock,4,zero,0.0024848582975836517
238,rock,4,oooh,0.0024278394548019207
239,rock,4,mmm,0.002402829150588104
240,rock,4,kind,0.0023143724345459165
241,rock,4,moonlight,0.0022425121907915626
242,rock,4,rocket,0.0021324016701127625
243,rock,4,start,0.0021185875855973388
244,rock,4,foe,0.0020682410030238353
245,rock,4,beat,0.002030184878854577
246,rock,4,biscuit,0.0019100997178191942
247,rock,4,hopeless,0.0018250714608972775
248,rock,4,aah,0.0017785723205604325
249,rock,4,henry,0.0017392970149798107
